@name	CNS 11643
@alias	CNS 11643-1986
@filename-kte	cns-11643.kte
@filename-txt	OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-author	Unicode, Inc.
@cite-title	CNS 11643-1986 to Unicode table (complete)
@cite-publisher	Unicode, Inc.
@cite-date	21 Oct 1994
@cite-url	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-copyright	1991-1994 Unicode, Inc.
0x01452F	0x53CA
0x014530	0x53CD
0x014531	0x58EC
0x014532	0x5929
0x014533	0x592B
0x014534	0x592A
0x014535	0x592D
0x014536	0x5B54
0x014537	0x5C11
0x014538	0x5C24
0x014539	0x5C3A
0x01453A	0x5C6F
0x01453B	0x5DF4
0x01453C	0x5E7B
0x01453D	0x5EFF
0x01453E	0x5F14
0x01453F	0x5F15
0x014540	0x5FC3
0x014541	0x6208
0x014542	0x6236
0x014543	0x624B
0x014544	0x624E
0x014545	0x652F
0x014546	0x6587
0x014547	0x6597
0x014548	0x65A4
0x014549	0x65B9
0x01454A	0x65E5
0x01454B	0x66F0
0x01454C	0x6708
0x01454D	0x6728
0x01454E	0x6B20
0x01454F	0x6B62
0x014550	0x6B79
0x014551	0x6BCB
0x014552	0x6BD4
0x014553	0x6BDB
0x014554	0x6C0F
0x014555	0x6C34
0x014556	0x706B
0x014557	0x722A
0x014558	0x7236
0x014559	0x723B
0x01455A	0x7247
0x01455B	0x7259
0x01455C	0x725B
0x01455D	0x72AC
0x01455E	0x738B
0x01455F	0x4E19
0x014560	0x4E16
0x014561	0x4E15
0x014562	0x4E14
0x014563	0x4E18
0x014564	0x4E3B
0x014565	0x4E4D
0x014566	0x4E4F
0x014567	0x4E4E
0x014568	0x4EE5
0x014569	0x4ED8
0x01456A	0x4ED4
0x01456B	0x4ED5
0x01456C	0x4ED6
0x01456D	0x4ED7
0x01456E	0x4EE3
0x01456F	0x4EE4
0x014570	0x4ED9
0x014571	0x4EDE
0x014572	0x5145
0x014573	0x5144
0x014574	0x5189
0x014575	0x518A
0x014576	0x51AC
0x014577	0x51F9
0x014578	0x51FA
0x014579	0x51F8
0x01457A	0x520A
0x01457B	0x52A0
0x01457C	0x529F
0x01457D	0x5305
0x01457E	0x5306
0x014621	0x5317
0x014622	0x531D
0x014623	0x4EDF
0x014624	0x534A
0x014625	0x5349
0x014626	0x5361
0x014627	0x5360
0x014628	0x536F
0x014629	0x536E
0x01462A	0x53BB
0x01462B	0x53EF
0x01462C	0x53E4
0x01462D	0x53F3
0x01462E	0x53EC
0x01462F	0x53EE
0x014630	0x53E9
0x014631	0x53E8
0x014632	0x53FC
0x014633	0x53F8
0x014634	0x53F5
0x014635	0x53EB
0x014636	0x53E6
0x014637	0x53EA
0x014638	0x53F2
0x014639	0x53F1
0x01463A	0x53F0
0x01463B	0x53E5
0x01463C	0x53ED
0x01463D	0x53FB
0x01463E	0x56DB
0x01463F	0x56DA
0x014640	0x5916
0x014641	0x592E
0x014642	0x5931
0x014643	0x5974
0x014644	0x5976
0x014645	0x5B55
0x014646	0x5B83
0x014647	0x5C3C
0x014648	0x5DE8
0x014649	0x5DE7
0x01464A	0x5DE6
0x01464B	0x5E02
0x01464C	0x5E03
0x01464D	0x5E73
0x01464E	0x5E7C
0x01464F	0x5F01
0x014650	0x5F18
0x014651	0x5F17
0x014652	0x5FC5
0x014653	0x620A
0x014654	0x6253
0x014655	0x6254
0x014656	0x6252
0x014657	0x6251
0x014658	0x65A5
0x014659	0x65E6
0x01465A	0x672E
0x01465B	0x672C
0x01465C	0x672A
