F4CF;SABINE LETTER SMALL CAPITAL O;Ll;0;L;;;;;N;;;;;
F4D0;SABINE LETTER SMALL CAPITAL P;Ll;0;L;;;;;N;;;;;
F4D1;SABINE LETTER SMALL CAPITAL Q;Ll;0;L;;;;;N;;;;;
F4D2;SABINE LETTER SMALL CAPITAL R;Ll;0;L;;;;;N;;;;;
F4D3;SABINE LETTER SMALL CAPITAL S;Ll;0;L;;;;;N;;;;;
F4D4;SABINE LETTER SMALL CAPITAL T;Ll;0;L;;;;;N;;;;;
F4D5;SABINE LETTER SMALL CAPITAL U;Ll;0;L;;;;;N;;;;;
F4D6;SABINE LETTER SMALL CAPITAL V;Ll;0;L;;;;;N;;;;;
F4D7;SABINE LETTER SMALL CAPITAL W;Ll;0;L;;;;;N;;;;;
F4D8;SABINE LETTER SMALL CAPITAL X;Ll;0;L;;;;;N;;;;;
F4D9;SABINE LETTER SMALL CAPITAL Y;Ll;0;L;;;;;N;;;;;
F4DA;SABINE LETTER SMALL CAPITAL Z;Ll;0;L;;;;;N;;;;;
F4DB;SABINE SWASHED SMALL LETTER G;Ll;0;L;<font> 0067;;;;N;;;;;
F4DC;SABINE SWASHED SMALL LETTER J;Ll;0;L;<font> 006A;;;;N;;;;;
F4DD;SABINE SWASHED SMALL LETTER S;Ll;0;L;<font> 0073;;;;N;;;;;
F4DE;SABINE SWASHED SMALL LETTER Y;Ll;0;L;<font> 0079;;;;N;;;;;
F4DF;SABINE SMALL TEXT CURSOR;So;0;ON;;;;;N;;;;;
F4E0;SABINE SCRIPT CAPITAL LETTER E;Lu;0;L;<font> 0045;;;;N;;;;;
F4E1;SABINE SCRIPT SMALL LETTER A;Ll;0;L;<font> 0061;;;;N;;;;;
F4E2;SABINE SCRIPT SMALL LETTER B;Ll;0;L;<font> 0062;;;;N;;;;;
F4E3;SABINE SCRIPT SMALL LETTER C;Ll;0;L;<font> 0063;;;;N;;;;;
F4E4;SABINE SCRIPT SMALL LETTER D;Ll;0;L;<font> 0064;;;;N;;;;;
F4E5;SABINE SCRIPT SMALL LETTER E;Ll;0;L;<font> 0065;;;;N;;;;;
